MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Ajay Misra Teni,Elected,18-May-14,In office,First,Rural Development ,Uttar Pradesh,Kheri,Bharatiya Janata Party,Male,Professional Graduate,"B.Sc., LL.B.",57,217,5,389,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Ajay Nishad,Elected,18-May-14,In office,First,Coal & Steel,Bihar,Muzaffarpur,Bharatiya Janata Party,Male,Graduate,Graduate,51,20,0,179,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Ajay Tamta,Elected,18-May-14,In office,First,No,Uttarakhand,Almora,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter (Science),45,16,0,69,94%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,28.7,3.3,74,91%
Akshay Yadav,Elected,18-May-14,In office,First,Health and Family Welfare,Uttar Pradesh,Firozabad,Samajwadi Party,Male,Professional Graduate,B.B.A.,31,10,0,1,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Alok Sanjar,Elected,18-May-14,In office,First,Urban Development,Madhya Pradesh,Bhopal,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",54,121,3,350,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Amarinder Singh,Elected,18-May-14,23/11/2016,Second,No,Punjab,Amritsar,Indian National Congress,Male,Graduate,Graduate,76,4,0,18,6%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),42,1.2,161,80%,32,0.3,72,69%
Anandrao Adsul,Elected,18-May-14,In office,Fifth,Chemicals & Fertilizers,Maharashtra,Amravati,Shiv Sena,Male,Graduate,"B.Com.; Educated at Shivaji University, Kolhapur, Maharashtra",70,53,2,837,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Anant Gangaram Geete,Elected,18-May-14,In office,Sixth,No,Maharashtra,Raigad,Shiv Sena,Male,Matric,"Educated at Mumbai Board (Formerly Pune Board), Ratnagiri (Maharashtra) ",66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿThey do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anant Kumar Hegde,Elected,18-May-14,In office,Fifth,No,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",49,1,0,245,96%,"This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",54.2,1.6,215,80%,40.1,0.3,286,80%
Ananth Kumar,Elected,18-May-14,In office,Sixth,No,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B. (Spl.); Educated at K.S. Arts College and J.S.S. Law College, Karnataka University, Hubli (Karnataka) ",58,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿThey do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anbumani Ramadoss,Elected,18-May-14,In office,First,Rural Development ,Tamil Nadu,Dharmapuri,Pattali Makkal Katchi,Male,Professional Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu)",49,11,0,43,48%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
Anil Shirole,Elected,18-May-14,In office,First,Urban Development,Maharashtra,Pune,Bharatiya Janata Party,Male,Graduate,B.A.,67,13,0,125,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Anirudhan Sampath,Elected,18-May-14,In office,Third,"Personnel, Public Grievances, Law and Justice",Kerala,Attingal,Communist Party of India (Marxist),Male,Professional Post Graduate,M.A. (Eco) L.L.M (Constt. Law),55,188,3,319,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Anju Bala,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Uttar Pradesh,Misrikh,Bharatiya Janata Party,Female,Post Graduate,M.A. (Hindi and Sanskrit),38,117,0,112,98%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Anoop Mishra,Elected,18-May-14,In office,First,Health and Family Welfare,Madhya Pradesh,Morena,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter/ Higher Secondary,61,6,0,235,45%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Anshul Verma,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Uttar Pradesh,Hardoi,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B.",43,24,0,87,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Anto Antony,Elected,18-May-14,In office,Second,"Food, Consumer Affairs & Public Distribution",Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",60,71,1,563,78%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,118.4,3.4,360,78%
Anupam Hazra,Elected,18-May-14,In office,First,Information Technology,West Bengal,Bolpur,All India Trinamool Congress,Male,Doctorate,Ph.D. (Social Work),35,1,0,57,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Anupriya Singh Patel,Elected,18-May-14,In office,First,No,Uttar Pradesh,Mirzapur,Apna Dal,Female,Professional Post Graduate,M.B.A.,36,49,0,71,90%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,51.9,0.7,82,87%
Anurag Singh Thakur,Elected,18-May-14,In office,Third,Information Technology,Himachal Pradesh,Hamirpur,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",43,60,3,394,91%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,32.8,0.8,159,90%
Aparupa Poddar (Afrin Ali),Elected,18-May-14,In office,First,Water Resources ,West Bengal,Arambagh,All India Trinamool Congress,Female,Post Graduate,"LLB, MA (English)",32,69,0,64,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Arjun Charan Sethi,Elected,18-May-14,In office,Eighth,Agriculture,Odisha,Bhadrak,Biju Janata Dal,Male,Post Graduate,"M.A.; Educated at K.C. Vidyamandir, Agarpada, Bhadrak College, University College , Vani Vihar, Bhubaneswar, Orissa",76,1,0,32,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Arjun Ram Meghwal,Elected,18-May-14,In office,Second,No,Rajasthan,Bikaner,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",64,92,16,336,98%,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 11, 2016. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",35.2,1,136,80%,87.4,2.4,207,88%
Arjunlal Meena,Elected,18-May-14,In office,First,Health and Family Welfare,Rajasthan,Udaipur,Bharatiya Janata Party,Male,Post Graduate,"M.Com., B.Ed.",53,72,0,277,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Arka Keshari Deo,Elected,18-May-14,In office,First,External Affairs,Odisha,Kalahandi,Biju Janata Dal,Male,Graduate,B.A.,39,26,0,105,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Arpita Ghosh,Elected,18-May-14,In office,First,"Transport, Tourism and Culture",West Bengal,Balurghat,All India Trinamool Congress,Female,Graduate,B.Sc.,51,17,0,25,63%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Arun Kumar,Elected,18-May-14,In office,Second,Energy and Labour ,Bihar,Jahanabad,Rashtriya Lok Samta Party,Male,Doctorate,"M.A., Ph.D. 
Educated at Patna University, Patna and Magadh University, Bodhgaya (Bihar)",58,56,0,61,86%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Arvind Sawant,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Maharashtra,Mumbai-South,Shiv Sena,Male,Graduate,B.Sc.,66,241,1,386,99%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Asaduddin Owaisi,Elected,18-May-14,In office,Third,Social Justice & Empowerment ,Telangana,Hyderabad,All India Majlis-E-Ittehadul Muslimmen,Male,Professional Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",48,52,0,637,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Ashok Gajapathi Raju Pusapati,Elected,18-May-14,In office,First,No,Andhra Pradesh,Vizianagaram,Telugu Desam Party,Male,Matric,Matric,66,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿThey do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashok Kumar Doharey,Elected,18-May-14,In office,First,Labour ,Uttar Pradesh,Etawah,Bharatiya Janata Party,Male,Graduate,B.A.,47,3,0,0,80%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Ashok Mahadeorao Nete,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Maharashtra,Gadchiroli-Chimur,Bharatiya Janata Party,Male,Graduate,B.A.,49,29,4,456,74%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Ashok Shankarrao Chavan,Elected,18-May-14,In office,Second,Urban Development,Maharashtra,Nanded,Indian National Congress,Male,Professional Graduate,"B.Sc., M.B.A.",59,8,0,745,45%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
Ashwini Kumar,Elected,18-May-14,In office,First,Home Affairs,Haryana,Karnal,Bharatiya Janata Party,Male,Professional Graduate,"B.Com, Degree in Journalism",61,7,0,350,57%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,53.8,2.8,227,86%
Ashwini Kumar Choubey,Elected,18-May-14,In office,First,No,Bihar,Buxar,Bharatiya Janata Party,Male,Graduate,B.Sc.(Hons.) Zoology,65,181,2,151,93%,"This MP was appointed a minister in Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th Aug, 2017. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",54.2,1.6,215,80%,48.5,2.5,149,88%
Asrarul Haque Mohammad,Elected,18-May-14,In office,Second,Industry,Bihar,Kishanganj,Indian National Congress,Male,Post Graduate,"Fazil (M.A.); Educated at Darul Uloom, Deoband, Uttar Pradesh",76,13,0,1,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.7,166,88%
Azmeera Seetaram Naik,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Telangana,Mahabubabad,Telangana Rashtra Samithi,Male,Doctorate,"Educated at Kakatiya University, Warangal",60,24,0,122,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
B. S. Yeddyurappa,Elected,18-May-14,In office,First,Agriculture,Karnataka,Shimoga,Bharatiya Janata Party,Male,Under Graduate,PUC.,75,14,0,187,72%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
B. Senguttuvan,Elected,18-May-14,In office,First,Defence,Tamil Nadu,Vellore,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"M.A., M.L.",61,37,0,415,81%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39.8,0,359,78%
B. Sreeramulu,Elected,18-May-14,In office,First,Home Affairs,Karnataka,Bellary,Bharatiya Janata Party,Male,Graduate,B.A.,46,20,0,544,53%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
B.N. Chandrappa,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Karnataka,Chitradurga,Indian National Congress,Male,Post Graduate,M.A,62,51,0,292,87%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
B.V. Nayak,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Karnataka,Raichur,Indian National Congress,Male,Professional Graduate,"B.Com., L.L.B.",51,9,0,573,59%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Babul Supriya Baral (Babul Supriyo),Elected,18-May-14,In office,First,No,West Bengal,Asansol,Bharatiya Janata Party,Male,Graduate,B.Com (Hons.),47,0,0,0,45%,"This MP was appointed a minister in Nov 2014. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till Aug 2014. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",5.1,0.1,18,80%,3.3,0,8,65%
Babulal Chaudhary,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Uttar Pradesh,Fatehpur Sikri,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,69,13,0,25,95%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Badaruddoza Khan,Elected,18-May-14,In office,First,Agriculture,West Bengal,Murshidabad,Communist Party of India (Marxist),Male,Professional Graduate,"B.Sc., B.Ed.",63,145,0,299,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,29.1,0.3,77,65%
Badruddin Ajmal,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Assam,Dhubri,All India United Democratic Front,Male,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",68,61,0,341,61%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,43.2,0.5,135,74%
Bahadur Singh Koli,Elected,18-May-14,In office,Second,Labour ,Rajasthan,Bharatpur,Bharatiya Janata Party,Male,Matric,Information not available,56,16,0,105,97%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,124.9,3.6,329,88%
Baijayant Jay Panda,Elected,18-May-14,In office,Second,Home Affairs,Odisha,Kendrapara,Biju Janata Dal,Male,Graduate,"Dual Degree Course in Engineering and Management in Communications; Educated at Michigan Technological University, U.S.A.",54,18,21,452,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Balabhadra Majhi,Elected,18-May-14,In office,First,Railways ,Odisha,Nabarangpur,Biju Janata Dal,Male,Professional Graduate,B.Sc. (Engineering),57,71,0,152,84%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Balka Suman,Elected,18-May-14,In office,First,Rural Development ,Telangana,Peddapalle,Telangana Rashtra Samithi,Male,Doctorate,"M.A., Ph.D.",34,8,2,235,50%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,34,1.4,260,69%
Bandaru Dattatreya,Elected,18-May-14,In office,Fourth,Finance,Telangana,Secunderabad,Bharatiya Janata Party,Male,Graduate,"B.Sc.Educated at Osmania University, Hyderabad (Andhra Pradesh)",70,3,0,12,77%,"This MP was a minister from Nov 2014 to Sep 2017. Ministers represent the government, so we do not report their participation.  Participation and attendance details are thus not available for the above period. (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018)",8.8,0.3,45,80%,6.3,0.1,50,69%
Banshilal Mahto,Elected,18-May-14,In office,First,Coal & Steel,Chhattisgarh,Korba,Bharatiya Janata Party,Male,Professional Graduate,B.A.M.S.,77,30,0,338,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,23,0.1,184,84%
Bhagat Singh Koshyari,Elected,18-May-14,In office,First,Energy,Uttarakhand,Nainital-Udhamsingh Nagar,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University)",75,11,0,10,88%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,39,5.3,117,91%
Bhagirath Prasad,Elected,18-May-14,In office,First,Human Resource Development,Madhya Pradesh,Bhind,Bharatiya Janata Party,Male,Doctorate,"M.A.,M.Phil.,Ph.D.,(JNU)",70,23,0,62,83%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,64.1,0.7,237,82%
Bhagwant Mann,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Punjab,Sangrur,Aam Aadmi Party,Male,Under Graduate,B.Com II Year,44,95,0,54,56%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,40.7,0.9,114,69%
Bhagwanth Khuba,Elected,18-May-14,In office,First,"Food, Consumer Affairs & Public Distribution",Karnataka,Bidar,Bharatiya Janata Party,Male,Professional Graduate,BE (Mech.),50,15,0,299,82%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,42.1,0.3,315,80%
Bhairon Prasad Mishra,Elected,18-May-14,In office,First,Human Resource Development,Uttar Pradesh,Banda,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,63,1722,11,451,100%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Bhanu Pratap Singh Verma,Elected,18-May-14,In office,Fourth,Energy,Uttar Pradesh,Jalaun,Bharatiya Janata Party,Male,Post Graduate,"M.A., L.L.B. 
Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)",60,100,0,109,96%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Bharat Singh,Elected,18-May-14,In office,First,Health and Family Welfare,Uttar Pradesh,Ballia,Bharatiya Janata Party,Male,Graduate,B.A.,69,45,0,347,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Bharatendra Singh,Elected,18-May-14,In office,First,Social Justice & Empowerment ,Uttar Pradesh,Bijnor,Bharatiya Janata Party,Male,Post Graduate,Post-Graduate,54,19,0,261,90%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,94.4,1.3,162,87%
Bharatiben Dhirubhai Shiyal,Elected,18-May-14,In office,First,Information Technology,Gujarat,Bhavnagar,Bharatiya Janata Party,Female,Professional Graduate,B.A.M.S.,53,32,0,134,94%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,36.6,2,233,84%
Bhartruhari Mahtab,Elected,18-May-14,In office,Fifth,Finance,Odisha,Cuttack,Biju Janata Dal,Male,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",60,221,18,479,93%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,51.6,2.8,187,82%
Bhavana Pundlikrao Gawali Patil,Elected,18-May-14,In office,Fourth,Human Resource Development,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",44,32,0,263,76%, (Data corresponds to the period from 1 Jun 2014 to 21 Mar 2018. (Attendance available till 19 Mar 2018),57.9,1.8,242,80%,58.2,3.5,495,79%
